,cell,scmap_cluster_labs,scmap_cluster_siml,combined_labs
1,ERR2632411,unassigned,0.602328413201705,unassigned
2,ERR2632412,unassigned,0.6226546646765,unassigned
3,ERR2632413,unassigned,0.661409308151368,unassigned
4,ERR2632414,unassigned,0.643814668477758,unassigned
5,ERR2632415,unassigned,0.681682084302782,unassigned
6,ERR2632416,unassigned,0.625900343358675,unassigned
7,ERR2632417,unassigned,0.628850948212923,unassigned
8,ERR2632418,unassigned,0.662129678036458,unassigned
9,ERR2632419,unassigned,0.64928653552724,unassigned
10,ERR2632420,unassigned,0.591764416231831,unassigned
11,ERR2632421,unassigned,0.610324951638151,unassigned
12,ERR2632422,unassigned,0.658913012921351,unassigned
13,ERR2632423,unassigned,0.292417510207291,unassigned
14,ERR2632424,unassigned,0.6559819892057,unassigned
15,ERR2632425,unassigned,0.684507127700796,unassigned
16,ERR2632426,unassigned,0.646539196690948,unassigned
17,ERR2632427,unassigned,0.64885335037703,unassigned
18,ERR2632428,unassigned,0.659001538720488,unassigned
19,ERR2632429,unassigned,0.671371315826466,unassigned
20,ERR2632430,unassigned,0.623294052801575,unassigned
21,ERR2632431,unassigned,0.6251022932268,unassigned
22,ERR2632432,unassigned,0.642344413191508,unassigned
23,ERR2632433,unassigned,0.654065680149322,unassigned
24,ERR2632434,unassigned,0.652626648869082,unassigned
25,ERR2632435,unassigned,0.62277667863624,unassigned
26,ERR2632436,unassigned,0.639754210707462,unassigned
27,ERR2632437,unassigned,0.682552202533764,unassigned
28,ERR2632438,unassigned,0.64553171558146,unassigned
29,ERR2632439,unassigned,0.692749294286218,unassigned
30,ERR2632440,unassigned,0.629992901813258,unassigned
31,ERR2632441,unassigned,0.627204176017344,unassigned
32,ERR2632442,unassigned,0.615953211580504,unassigned
33,ERR2632443,unassigned,0.618247202870728,unassigned
34,ERR2632444,unassigned,0.615841564460994,unassigned
35,ERR2632445,unassigned,0.369610591023496,unassigned
36,ERR2632446,unassigned,0.62561950560662,unassigned
37,ERR2632447,unassigned,0.566385015286717,unassigned
38,ERR2632448,unassigned,0.610978931494691,unassigned
39,ERR2632449,unassigned,0.610366597663583,unassigned
40,ERR2632450,unassigned,0.370555519525419,unassigned
41,ERR2632451,unassigned,0.514418204228493,unassigned
42,ERR2632452,unassigned,0.666554163464708,unassigned
43,ERR2632453,unassigned,0.620319235687498,unassigned
44,ERR2632454,unassigned,0.510933604197111,unassigned
45,ERR2632455,unassigned,0.582961800643464,unassigned
46,ERR2632456,unassigned,0.598440041847915,unassigned
47,ERR2632457,unassigned,0.581160881778417,unassigned
48,ERR2632458,unassigned,0.640193639540607,unassigned
49,ERR2632459,unassigned,0.372502492367321,unassigned
50,ERR2632460,unassigned,0.572472152898133,unassigned
51,ERR2632461,unassigned,0.567236269562877,unassigned
52,ERR2632462,unassigned,0.563617251225637,unassigned
53,ERR2632463,unassigned,0.557027752869564,unassigned
54,ERR2632464,unassigned,0.553543378806917,unassigned
55,ERR2632465,unassigned,0.552974031082832,unassigned
56,ERR2632466,unassigned,0.579180406879751,unassigned
57,ERR2632467,unassigned,0.616387007044434,unassigned
58,ERR2632468,unassigned,0.616240933531443,unassigned
59,ERR2632469,unassigned,0.60692599921485,unassigned
60,ERR2632470,unassigned,0.595804314154883,unassigned
61,ERR2632471,plasmablast,0.917702599592665,plasmablast
62,ERR2632472,plasmablast,0.905337025593006,plasmablast
63,ERR2632473,plasmablast,0.853179412008592,plasmablast
64,ERR2632474,plasmablast,0.798126668245943,plasmablast
65,ERR2632475,plasmablast,0.874507652636603,plasmablast
66,ERR2632476,plasmablast,0.806014259248921,plasmablast
67,ERR2632477,plasmablast,0.740284566034736,plasmablast
68,ERR2632478,plasmablast,0.8425125959148,plasmablast
69,ERR2632479,plasmablast,0.902390992381752,plasmablast
70,ERR2632480,plasmablast,0.92350633132489,plasmablast
71,ERR2632481,plasmablast,0.8803678244497,plasmablast
72,ERR2632482,plasmablast,0.902016702320161,plasmablast
73,ERR2632483,plasmablast,0.912047082269396,plasmablast
74,ERR2632484,plasmablast,0.918972100003452,plasmablast
75,ERR2632485,plasmablast,0.772026236245914,plasmablast
76,ERR2632486,plasmablast,0.863097093939551,plasmablast
77,ERR2632487,plasmablast,0.885511375129788,plasmablast
78,ERR2632488,plasmablast,0.827735163869362,plasmablast
79,ERR2632489,plasmablast,0.90618864285095,plasmablast
80,ERR2632490,plasmablast,0.877187238415902,plasmablast
81,ERR2632491,plasmablast,0.817346617585728,plasmablast
82,ERR2632492,plasmablast,0.896331564134148,plasmablast
83,ERR2632493,plasmablast,0.925522665876165,plasmablast
84,ERR2632494,unassigned,0.69221996893453,unassigned
85,ERR2632495,plasmablast,0.896068221728686,plasmablast
86,ERR2632496,plasmablast,0.859750076762882,plasmablast
87,ERR2632497,plasmablast,0.852054879698281,plasmablast
88,ERR2632498,plasmablast,0.84451922156081,plasmablast
89,ERR2632499,plasmablast,0.825690525386539,plasmablast
90,ERR2632500,plasmablast,0.931060052870456,plasmablast
91,ERR2632501,unassigned,0.582233498011796,unassigned
92,ERR2632502,unassigned,0.614926399398407,unassigned
93,ERR2632503,unassigned,0.615156794817493,unassigned
94,ERR2632504,unassigned,0.611585562426407,unassigned
95,ERR2632505,unassigned,0.498512489579385,unassigned
96,ERR2632506,unassigned,0.573665168616083,unassigned
97,ERR2632507,unassigned,0.646829690846263,unassigned
98,ERR2632508,unassigned,0.648359351273842,unassigned
99,ERR2632509,unassigned,0.620507217823963,unassigned
100,ERR2632510,unassigned,0.589120244166036,unassigned
101,ERR2632511,unassigned,0.630484597716542,unassigned
102,ERR2632512,unassigned,0.569164977060995,unassigned
103,ERR2632513,unassigned,0.617876429365679,unassigned
104,ERR2632514,unassigned,0.63354257057827,unassigned
105,ERR2632515,unassigned,0.623261620109073,unassigned
106,ERR2632516,unassigned,0.6047841270105,unassigned
107,ERR2632517,unassigned,0.566252814482785,unassigned
108,ERR2632518,unassigned,0.606397000968394,unassigned
109,ERR2632519,unassigned,0.687997153804639,unassigned
110,ERR2632520,unassigned,0.688040356708755,unassigned
111,ERR2632521,unassigned,0.616820773037401,unassigned
112,ERR2632522,unassigned,0.648921828506127,unassigned
113,ERR2632523,unassigned,0.611352822510494,unassigned
114,ERR2632524,unassigned,0.613121464693473,unassigned
115,ERR2632525,unassigned,0.61916064312138,unassigned
116,ERR2632526,unassigned,0.641722924513214,unassigned
117,ERR2632527,unassigned,0.607284688260711,unassigned
