Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[single cell quality]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell type]	Factor Value[single cell identifier]
Sample 13	ERS2544895	SAMEA4724758	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 13	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 13	sequencing assay	ERX2648905	SIN2772A13-40333853_1.fastq.gz	SIN2772A13-40333853_1.fastq.gz	ERR2632411	ERR2632411	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632411/ERR2632411_1.fastq.gz	302	152	memory B cell	cell 13
Sample 13	ERS2544895	SAMEA4724758	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 13	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 13	sequencing assay	ERX2648905	SIN2772A13-40333853_2.fastq.gz	SIN2772A13-40333853_2.fastq.gz	ERR2632411	ERR2632411	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632411/ERR2632411_2.fastq.gz	300	151	memory B cell	cell 13
Sample 14	ERS2544896	SAMEA4724759	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 14	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 14	sequencing assay	ERX2648906	SIN2772A14-40336831_1.fastq.gz	SIN2772A14-40336831_1.fastq.gz	ERR2632412	ERR2632412	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632412/ERR2632412_1.fastq.gz	302	152	memory B cell	cell 14
Sample 14	ERS2544896	SAMEA4724759	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 14	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 14	sequencing assay	ERX2648906	SIN2772A14-40336831_2.fastq.gz	SIN2772A14-40336831_2.fastq.gz	ERR2632412	ERR2632412	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632412/ERR2632412_2.fastq.gz	302	152	memory B cell	cell 14
Sample 15	ERS2544897	SAMEA4724760	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 15	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 15	sequencing assay	ERX2648907	SIN2772A15-40338742_1.fastq.gz	SIN2772A15-40338742_1.fastq.gz	ERR2632413	ERR2632413	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632413/ERR2632413_1.fastq.gz	302	152	memory B cell	cell 15
Sample 15	ERS2544897	SAMEA4724760	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 15	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 15	sequencing assay	ERX2648907	SIN2772A15-40338742_2.fastq.gz	SIN2772A15-40338742_2.fastq.gz	ERR2632413	ERR2632413	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632413/ERR2632413_2.fastq.gz	298	150	memory B cell	cell 15
Sample 16	ERS2544898	SAMEA4724761	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 16	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 16	sequencing assay	ERX2648908	SIN2772A16-40343389_1.fastq.gz	SIN2772A16-40343389_1.fastq.gz	ERR2632414	ERR2632414	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632414/ERR2632414_1.fastq.gz	284	143	memory B cell	cell 16
Sample 16	ERS2544898	SAMEA4724761	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 16	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 16	sequencing assay	ERX2648908	SIN2772A16-40343389_2.fastq.gz	SIN2772A16-40343389_2.fastq.gz	ERR2632414	ERR2632414	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632414/ERR2632414_2.fastq.gz	302	152	memory B cell	cell 16
Sample 17	ERS2544899	SAMEA4724762	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 17	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 17	sequencing assay	ERX2648909	SIN2772A17-40355318_1.fastq.gz	SIN2772A17-40355318_1.fastq.gz	ERR2632415	ERR2632415	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632415/ERR2632415_1.fastq.gz	300	151	memory B cell	cell 17
Sample 17	ERS2544899	SAMEA4724762	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 17	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 17	sequencing assay	ERX2648909	SIN2772A17-40355318_2.fastq.gz	SIN2772A17-40355318_2.fastq.gz	ERR2632415	ERR2632415	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632415/ERR2632415_2.fastq.gz	302	152	memory B cell	cell 17
